HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,ML_pred,Exp. Quantum Yield
-0.239797,-0.09364,24.675836,71.13,98.809999,-7.769558,2.42307,14.121277,0.8321,0.6519,4.1896,0.6923,0.915,0.4306,5.0227,2.2976,0.9352,0.5095,5.1128,1.4321,0.6871,0.6371,3.4216,0.9533,0.7173,0.4933,3.6628,1.4597,0.6339,0.6625,3.296,1.5528,2,2,2,2,2.010891,2.019925,2.024546,2.050428,5.324882,5.324742,5.324584,5.324446,1.4448,0.518247604,0.670000017
-0.20985,-0.081128,4.989175,3.79,34.039999,-9.971766,2.25826,14.12128,0.9526,0.4735,5.3411,3.803,0.9688,0.4087,6.2749,4.5834,0.7991,0.6448,4.078,1.2894,0.7432,0.5451,4.0297,2.6615,0.8232,0.5449,4.3482,2.494,0.8821,0.5066,5.376,3.0074,1,2,2,3,1.925699,2.000727,2.095524,2.184918,4.841202,5.324324,5.32472,5.744967,1.4448,0.706414521,0.930000007
-0.210535,-0.089402,5.152744,51.28,28.280001,-7.863567,2.13239,14.12128,0.9706,0.4206,6.4475,5.108,0.9359,0.5736,6.0233,3.4933,0.9101,0.4754,5.6169,3.8636,0.744,0.544,3.9392,3.8546,0.8617,0.524,5.2746,2.8671,0.7451,0.5634,4.3841,2.4638,1,2,2,3,1.918382,2.013823,2.084522,2.13893,4.841169,5.324319,5.324718,5.744712,1.4448,0.27654317,0.74000001
-0.213155,-0.09221,1.448202,22.44,55.43,-9.206348,1.8309,14.121286,0.8229,0.6565,4.4213,0.577,0.93,0.4522,5.9491,4.3119,0.8864,0.6476,5.0996,2.4682,0.6905,0.65,3.6647,0.6389,0.7656,0.6493,4.3532,1.777,0.8643,0.4763,5.3135,3.8407,1,2,1,1,1.906993,2.030272,2.06066,2.086257,4.844263,5.324532,4.841318,4.840894,1.4448,0.273017257,0.25999999
-0.230846,-0.116533,13.105077,19.82,7.44,-9.852794,1.85311,14.121281,0.8338,0.5889,6.3302,4.0985,0.7987,0.2742,5.4461,4.5933,0.919,0.341,5.934,4.3204,0.7495,0.5853,5.0164,4.5387,0.7733,0.2778,5.2948,4.3975,0.7288,0.5867,4.5786,0.2107,1,1,2,2,1.962949,2.029414,2.087891,2.08806,4.841324,4.843378,5.3247,5.324703,1.4448,0.168827385,0.07
-0.215659,-0.077061,8.948378,45.3,77.28,-10.715418,2.30195,14.121284,0.8151,0.6388,4.0928,1.1553,0.9567,0.2428,6.6026,5.8291,0.9356,0.3242,4.0624,2.7164,0.7087,0.6582,3.7684,1.0435,0.751,0.6462,3.9515,1.7946,0.8134,0.4549,3.92,1.9487,1,2,1,1,1.922102,2.039456,2.040499,2.111741,4.844417,5.324737,4.841157,4.840837,1.406,0.547024965,0.819999993
-0.201153,-0.067641,18.333868,39.81,42.600001,-10.919599,2.0117,14.121283,0.8537,0.7138,4.6054,1.1701,0.894,0.4712,6.1641,2.3848,0.9436,0.4445,7.6514,0.8901,0.7087,0.6807,3.2969,1.3834,0.7257,0.6242,3.5021,1.3592,0.758,0.5846,4.723,4.2042,1,1,3,3,1.943181,1.94872,2.08046,2.081449,4.841136,4.841137,5.744905,5.744616,1.4305,0.350940049,0.150000006
-0.211408,-0.072763,10.538034,322.21,287.91,-7.382088,2.72939,14.121283,0.9456,0.3661,5.1721,4.166,0.9533,0.3908,4.8501,3.8806,0.9582,0.3515,5.5092,3.7386,0.8751,0.3777,4.7966,3.9966,0.8708,0.4334,4.5405,3.3255,0.7242,0.5629,3.6092,1.5814,1,1,2,2,1.958045,2.002422,2.088273,2.150209,4.84041,4.840336,5.325192,5.325242,1.4448,0.728191614,0.389999986
-0.224888,-0.089939,7.783691,122.54,35.780001,-9.099694,2.1585,14.121279,0.9211,0.6633,5.1389,1.9691,0.8852,0.5481,5.2376,3.206,0.8708,0.6516,5.2034,1.8415,0.7134,0.6612,3.5798,2.3311,0.7205,0.7087,3.9742,0.6655,0.7507,0.5833,4.2278,2.562,1,2,2,4,1.922481,2.077655,2.078617,2.491321,4.841153,5.324678,5.324694,8.104992,1.4448,0.547402263,0.200000003
-0.236121,-0.08786,7.70217,46.89,197.68,-7.612773,2.43699,14.12128,0.7706,0.7159,3.769,0.662,0.8529,0.5785,4.4305,0.3693,0.7324,0.2925,3.3498,2.0781,0.6804,0.7135,3.415,0.7493,0.7697,0.6412,4.0214,1.3437,0.6953,0.6465,3.469,1.5232,1,2,2,4,1.918026,2.045475,2.08623,2.488007,4.84119,5.324703,5.324631,8.104997,1.4448,0.52973032,0.870000005
