Structure,HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,Calc_lambda,refractive_index,Quantum Yield,Exp. Kr,lambda,Exp. lifetime,,Refer,,
192,-0.191494542,-0.075775834,5.09398601,62.73,252.26,0.0002548,2.14921,1357671.612,0.9301,0.4538,5.452,4.336,0.9481,0.4382,5.9452,4.3335,0.9762,0.3365,5.6263,4.5652,0.8851,0.4564,5.1073,4.2891,0.8237,0.4967,4.3859,3.6526,0.7695,0.5555,4.3959,2.8076,1,1,2,2,1.972946274,1.98845191,2.127846329,2.191277481,126.49594,126.54186,205.74384,205.36536,70896.89826,576.9561839,1.406,1,270270.2703,480,3.7,,"Chem. Mater. 2020, 32, 537 ",,
193,-0.194131954,-0.073554635,6.02056454,50.42,143.61,0.0002931,2.26594,1357670.664,0.9372,0.4698,5.4083,3.8147,0.9791,0.3391,5.6846,4.1783,0.9382,0.4604,5.5116,3.7924,0.8689,0.4667,4.9581,3.8393,0.7339,0.6225,3.4321,1.7725,0.9235,0.366,5.1939,3.7931,1,1,2,2,1.976827003,1.989092758,2.186378284,2.227202056,126.49359,126.5362,205.37275,205.64639,76917.2771,547.2342604,1.406,1,188679.2453,464,5.3,,"Chem. Mater. 2020, 32, 537 ",,
194,-0.209063996,-0.079578246,14.26000332,115.63,493.02,0.0008913,2.62649,1357671.061,0.9607,0.3308,5.5715,4.0736,0.9313,0.3939,5.2489,3.6081,0.9746,0.3435,5.9928,4.4697,0.9173,0.3388,5.2445,3.9911,0.8584,0.4037,4.7783,3.4954,0.7359,0.6458,4.5724,1.271,1,1,2,2,1.987210608,2.002616538,2.155835569,2.191700253,126.49672,126.5017,205.48102,205.38184,440604.0036,472.1129721,1.406,0.79,175555.5556,478,4.5,,"Inorg. Chem. 2019, 58, 12348",,
195,-0.177223805,-0.043881126,9.76997107,36.97,105.76,8.46E-05,2.50181,1357670.349,0.9868,0.3993,6.1863,3.469,0.9592,0.4328,5.7915,3.202,0.9721,0.3703,6.1755,3.9644,0.755,0.5041,4.5696,2.5801,0.9201,0.4191,5.8111,3.3295,0.9233,0.507,5.5539,2.8097,1,1,2,2,1.987471509,2.004688504,2.178842583,2.187365082,126.50577,126.50411,205.36267,205.37711,46209.15869,495.6411558,1.406,0.26,20000,446,13,,"Inorg. Chem. 2019, 58, 12348",,
196,-0.191461256,-0.116609677,3.40757003,92.99,334,0.0006523,1.24618,1357670.472,0.971,0.2848,5.9522,4.5482,0.9408,0.3702,5.3985,4.1218,0.9497,0.3564,5.3241,3.7538,0.9559,0.2881,5.776,4.5323,0.8972,0.3715,5.0129,4.1029,0.9205,0.3784,5.4662,3.8892,1,1,2,2,1.982253516,1.998327801,2.173168194,2.190175564,126.49959,126.51007,205.49874,205.40814,79907.17722,995.0408448,1.406,0.02,270270.2703,590,0.074,,"Inorg. Chem. 2019, 58, 12348",,
197,-0.207266507,-0.078064768,10.42466547,38.94,84.33,0.000132,2.54046,1357670.824,0.9596,0.2616,6.0562,5.4175,0.9465,0.3834,6.2787,4.4213,0.97,0.2588,6.1418,5.3171,0.7646,0.4836,4.2124,3.5297,0.7877,0.5442,4.4726,2.9553,0.9527,0.2997,6.485,4.999,1,1,2,2,1.997885382,2.015254078,2.168869291,2.175743091,126.51587,126.53296,205.35579,205.38687,61419.18421,488.1005802,1.4448,0.07,3.50E+05,510,0.2,,"Inorg. Chem. 2021, 60, 12972-12983",,
198,-0.196846785,-0.081335792,12.13977036,148.62,180.35,0.0006342,2.44869,1357671.854,0.9847,0.2253,6.8487,5.8922,0.9339,0.3906,5.5344,3.9888,0.956,0.4055,5.8093,4.1491,0.9544,0.2443,6.5737,5.6889,0.8852,0.3899,5.0413,4.0145,0.8242,0.4953,4.9403,2.8315,1,1,2,2,2.001067965,2.00439567,2.100101426,2.183435367,126.5087,126.50065,205.35587,205.37989,296917.5445,506.3932143,1.4448,0.17,1.13E+05,532,1.5,,"Inorg. Chem. 2021, 60, 12972-12983",,
199,-0.204905691,-0.081364766,8.9819285,79.81,232.73,0.001195,2.28747,1357673.878,0.9085,0.4533,5.1489,3.6927,0.9365,0.3546,6.0104,4.5555,0.9836,0.2528,6.5263,5.405,0.8301,0.4711,4.5706,3.4557,0.7399,0.579,4.0713,2.2229,0.8521,0.4089,5.2655,3.7717,1,1,2,2,1.966460272,2.012613723,2.130911777,2.197547042,126.56859,126.50902,205.40808,205.34522,354357.3197,542.083612,1.4448,0.57,1.12E+05,546,5.1,,"Inorg. Chem. 2021, 60, 12972-12983",,
200,-0.205258038,-0.07903056,11.35434347,128.27,77.57,0.0001807,2.47623,1357674.657,0.9526,0.3754,5.8805,4.6342,0.9381,0.3982,4.9047,2.9449,0.9727,0.3185,5.9388,5.1423,0.8695,0.397,5.1853,4.3685,0.7867,0.4627,4.0812,2.7629,0.8208,0.508,4.4881,2.6531,1,1,2,1,1.975629014,2.06101213,2.076812461,2.095086872,126.52175,126.51639,205.37904,126.68759,114678.9834,500.7612378,1.4448,0.18,2.57E+05,517,0.7,,"J. Mater. Chem. C, 2022,10, 210-218",,
201,-0.199600282,-0.078472826,11.25281912,134.62,52.48,0.0005862,2.48278,1357675.237,0.9756,0.2842,6.4786,5.4762,0.929,0.393,5.4835,3.8606,0.8858,0.5969,4.7654,1.4829,0.903,0.3214,5.8723,5.0985,0.8737,0.4043,4.9956,3.786,0.7352,0.5787,4.1458,2.2963,1,1,2,1,1.995519231,2.034563835,2.081284699,2.083158659,126.51481,126.51404,205.3651,126.69002,215114.4329,499.4401437,1.4448,0.18,2.57E+05,539,0.7,,"J. Mater. Chem. C, 2022,10, 210-218",,
202,-0.2006094,-0.079182753,10.86631982,94.99,51,0.001507,2.50346,1357675.924,0.9701,0.3037,6.5087,5.4157,0.9296,0.4049,5.4957,3.863,0.9109,0.5116,5.2554,2.3734,0.9018,0.3389,5.8803,5.0209,0.8686,0.418,5.0174,3.748,0.7474,0.5876,4.0757,1.9561,1,1,1,2,1.991188088,2.038973761,2.060042233,2.084146348,126.51168,126.51308,126.73008,205.36576,486901.0153,495.3144848,1.4448,0.02,1.43E+04,525,1.4,,"J. Mater. Chem. C, 2022,10, 210-218",,
203,-0.200225133,-0.078679833,13.11486823,64.7,93.25,0.00266,2.5188,1357676.043,0.965,0.3152,6.4513,5.2786,0.93,0.4202,5.5296,3.7938,0.9438,0.3893,5.8724,4.0936,0.9085,0.3397,5.924,4.9772,0.8667,0.4319,5.0351,3.6769,0.8322,0.4642,4.8051,3.1179,1,1,1,2,1.992109686,2.038019382,2.061912947,2.084263179,126.5139,126.51188,126.7344,205.35978,839032.3395,492.2979196,1.4448,0.02,1.11E+04,524,1.8,,"J. Mater. Chem. C, 2022,10, 210-218",,
