HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_lambda,refractive index,lambda
-0.184671948,-0.071083087,9.19418574,330.81,260.93,-7.33,14.12128417,0.9684,0.3328,5.3402,4.4525,0.9668,0.2978,4.8725,3.6339,0.9663,0.3115,4.2206,3.8102,0.9355,0.3348,5.1716,4.4586,0.938,0.3016,4.554,3.5875,0.9314,0.3204,3.8908,3.4173,1,1,1,2,1.967344911,2.034728729,2.077041646,2.1020245,4.840516895,4.840481094,4.841985768,5.325390266,583.7162009,1.4906,442
-0.210762054,-0.103125191,15.28096497,6.13,325.01,-7.12,14.12127602,0.9248,0.4229,5.23,3.1819,0.9484,0.4197,5.5907,3.1893,0.8819,0.4745,5.1897,3.6714,0.8908,0.4262,4.9908,3.1358,0.8882,0.4283,5.1425,3.0584,0.6988,0.5955,3.8795,1.6632,2,2,3,3,1.987711498,1.989620567,2.003231889,2.004037175,5.324343577,5.324378701,5.744734221,5.744590101,641.6724883,1.4448,606
-0.207623141,-0.084486422,7.21915792,7.61,148.37,-7.14,14.12128039,0.9425,0.4509,5.3469,3.4837,0.9533,0.3457,6.0571,4.9651,0.8257,0.5471,4.5108,1.4783,0.8703,0.4557,4.8384,3.377,0.7985,0.4694,4.6999,2.6223,0.7862,0.5397,4.3314,0.9166,1,2,2,3,1.921485363,2.014350764,2.092038958,2.138318031,4.841193871,5.324518694,5.324727771,5.744907527,528.9335165,1.4448,503
-0.213996934,-0.104757291,14.75785379,52.95,55.92,-8.49,14.12128611,0.9098,0.4681,6.3509,4.8644,0.8622,0.4796,4.7388,2.7923,0.9533,0.3577,6.6958,5.4134,0.8523,0.4767,5.8972,4.6069,0.8193,0.4857,4.4792,2.7297,0.7023,0.5779,4.2711,1.7631,1,2,1,2,1.923189538,1.989344113,2.027656036,2.176341885,4.842734299,5.324723535,4.840890399,5.325054132,625.1008227,1.4448,597
-0.205794124,-0.080565462,7.14438282,7.01,3.54,-11.2,14.12127918,0.9266,0.5457,5.0081,2.7093,0.8436,0.6467,4.5022,1.1615,0.8689,0.5736,4.8783,1.2997,0.7603,0.5785,4.1831,2.0241,0.8116,0.6105,4.1824,1.6286,0.7533,0.5911,3.9013,1.103,1,2,2,3,1.962308844,2.008770022,2.063531439,2.191477356,4.8405896,5.324356779,5.324285409,5.744672403,559.4935681,1.4448,511
-0.201427195,-0.099564414,14.04235397,8.96,355.61,-7.69,14.12127515,0.9222,0.4293,5.1123,3.1303,0.9454,0.4202,5.4723,3.221,0.7692,0.3207,3.7621,2.7657,0.8854,0.4327,4.8692,3.1007,0.8911,0.427,5.0396,3.1742,0.6938,0.5839,3.751,1.9593,2,2,3,3,1.995022306,1.995992485,2.008949477,2.009533279,5.324467404,5.324441637,5.745058318,5.745046004,700.9728825,1.4969,624
-0.227318252,-0.105530565,18.22254779,652.67,27.79,-8.65,14.12128001,0.8527,0.4984,5.0862,3.013,0.8558,0.6265,5.9814,2.0701,0.8084,0.3074,4.6749,4.0979,0.7632,0.6321,5.058,2.2331,0.815,0.4937,4.7947,3.2237,0.7712,0.5633,4.4643,1.0233,2,1,2,4,1.935924844,2.016905798,2.184717373,2.371270967,5.324548454,4.840929819,5.325015576,8.105000439,608.2426692,1.4448,568
-0.202432349,-0.079056412,16.38669078,91.39,752.96,-7.9,14.12128032,0.8229,0.5694,4.1631,1.6076,0.8773,0.4868,4.8401,3.0173,0.6415,0.4918,3.7661,1.0353,0.7379,0.5707,3.5961,1.5893,0.7821,0.5083,4.2655,2.7403,0.6944,0.5918,3.7281,0.6057,1,1,3,3,1.953815242,1.979150323,2.113604977,2.118162647,4.841044674,4.841637224,5.745013761,5.744842041,631.0239891,1.4072,443
-0.211399724,-0.093982046,15.24187177,64.44,326.75,-6.96,14.12127991,0.8581,0.4514,5.2332,3.8227,0.9411,0.4152,6.2504,5.1783,0.8893,0.5424,5.9762,3.3479,0.7771,0.4542,4.5133,3.9231,0.8615,0.467,5.2558,4.3332,0.7277,0.6311,4.2584,1.3233,1,2,2,4,1.956136243,1.966381703,2.168675863,2.408163408,4.840792275,5.324545239,5.324991722,8.105007024,602.5033041,1.4448,585
-0.239796916,-0.093639535,24.67583557,71.13,98.81,-7.77,14.1212766,0.8321,0.6519,4.1896,0.6923,0.915,0.4306,5.0227,2.2976,0.9352,0.5095,5.1128,1.4321,0.6871,0.6371,3.4216,0.9533,0.7173,0.4933,3.6628,1.4597,0.6339,0.6625,3.296,1.5528,2,2,2,2,2.010891345,2.019924751,2.024545875,2.05042776,5.324881982,5.324742331,5.324584446,5.324446264,511.7474939,1.4448,460
